"table_schema","table_name","ordinal_position","column_name","data_type","udt_name","character_maximum_length","numeric_precision","numeric_scale","datetime_precision","is_nullable","column_default","insert_requirement","column_comment"
"public","cpq_configuration_references",12,"json_snapshot","jsonb","jsonb",,,,,"NO","'{}'::jsonb","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",13,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",14,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",15,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_configuration_references",16,"header_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",17,"finalized_detail_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",18,"source_header_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",19,"source_detail_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",20,"customer_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",21,"account_type","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",22,"company","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",23,"currency","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",24,"language","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",25,"customer_location","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",26,"application_instance","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",27,"application_name","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",28,"finalized_session_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",29,"final_ipn_code","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_configuration_references",30,"finalize_response_json","jsonb","jsonb",,,,,"NO","'{}'::jsonb","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_country_mappings",1,"id","bigint","int8",,64,0,,"NO","nextval('cpq_country_mappings_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_country_mappings",2,"region","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_country_mappings",3,"sub_region","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_country_mappings",4,"country_code","character","bpchar",2,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_country_mappings",5,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_country_mappings",6,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_country_mappings",7,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_image_management",1,"id","bigint","int8",,64,0,,"NO","nextval('cpq_image_management_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_image_management",2,"feature_label","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_image_management",3,"option_label","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_image_management",4,"option_value","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_image_management",5,"picture_link_1","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_image_management",6,"picture_link_2","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_image_management",7,"picture_link_3","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_image_management",8,"picture_link_4","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_image_management",9,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_image_management",10,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_image_management",11,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_image_management",12,"ignore_during_configure","boolean","bool",,,,,"NO","false","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_image_management",13,"feature_layer_order","integer","int4",,32,0,,"NO","10","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_sampler_result",1,"id","bigint","int8",,64,0,,"NO","nextval('cpq_sampler_result_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_sampler_result",2,"ipn_code","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",3,"ruleset","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_sampler_result",4,"account_code","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_sampler_result",5,"customer_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",6,"currency","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",7,"language","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",8,"country_code","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",9,"namespace","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",10,"header_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",11,"detail_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",12,"session_id","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_sampler_result",13,"json_result","jsonb","jsonb",,,,,"NO","'{}'::jsonb","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_sampler_result",14,"processed_for_image_sync","boolean","bool",,,,,"NO","false","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_sampler_result",15,"processed_for_image_sync_at","timestamp with time zone","timestamptz",,,,6,"YES",,"OPTIONAL",
"public","cpq_sampler_result",16,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_sampler_result",17,"active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_sampler_result",18,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_account_context",1,"id","bigint","int8",,64,0,,"NO","nextval('cpq_setup_account_context_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_account_context",2,"account_code","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_setup_account_context",3,"customer_id","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_setup_account_context",4,"currency","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_setup_account_context",5,"language","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_setup_account_context",6,"country_code","character","bpchar",2,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_setup_account_context",7,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_account_context",8,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_account_context",9,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_account_context",10,"region","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_setup_account_context",11,"sub_region","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_setup_ruleset",1,"id","bigint","int8",,64,0,,"NO","nextval('cpq_setup_ruleset_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_ruleset",2,"cpq_ruleset","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","cpq_setup_ruleset",3,"description","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_setup_ruleset",4,"bike_type","text","text",,,,,"YES",,"OPTIONAL",
"public","cpq_setup_ruleset",5,"namespace","text","text",,,,,"NO","'Default'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_ruleset",6,"header_id","text","text",,,,,"NO","'Simulator'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_ruleset",7,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_ruleset",8,"sort_order","integer","int4",,32,0,,"NO","0","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_ruleset",9,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","cpq_setup_ruleset",10,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_compatibility_reference_values",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_compatibility_reference_values_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_compatibility_reference_values",2,"bike_type","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_compatibility_reference_values",3,"feature_label","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_compatibility_reference_values",4,"option_value","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_compatibility_reference_values",5,"option_label","text","text",,,,,"YES",,"OPTIONAL",
"public","qpart_compatibility_reference_values",6,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_compatibility_reference_values",7,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_compatibility_reference_values",8,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_country_allocation",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_country_allocation_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_country_allocation",2,"part_id","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_country_allocation",3,"country_code","character","bpchar",2,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_country_allocation",4,"active","boolean","bool",,,,,"NO","false","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_country_allocation",5,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_country_allocation",6,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_hierarchy_nodes",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_hierarchy_nodes_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_hierarchy_nodes",2,"level","smallint","int2",,16,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_hierarchy_nodes",3,"code","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_hierarchy_nodes",4,"label_en","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_hierarchy_nodes",5,"parent_id","bigint","int8",,64,0,,"YES",,"OPTIONAL",
"public","qpart_hierarchy_nodes",6,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_hierarchy_nodes",7,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_hierarchy_nodes",8,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_metadata_definitions_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",2,"key","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_metadata_definitions",3,"label_en","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_metadata_definitions",4,"field_type","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_metadata_definitions",5,"is_translatable","boolean","bool",,,,,"NO","false","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",6,"is_required","boolean","bool",,,,,"NO","false","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",7,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",8,"display_order","integer","int4",,32,0,,"NO","100","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",9,"validation_json","jsonb","jsonb",,,,,"NO","'{}'::jsonb","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",10,"options_json","jsonb","jsonb",,,,,"NO","'[]'::jsonb","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",11,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_metadata_definitions",12,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_bike_type_compatibility",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_part_bike_type_compatibility_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_bike_type_compatibility",2,"part_id","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_bike_type_compatibility",3,"bike_type","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_bike_type_compatibility",4,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_bike_type_compatibility",5,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_channel_assignment",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_part_channel_assignment_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_channel_assignment",2,"part_id","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_channel_assignment",3,"channel","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_channel_assignment",4,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_channel_assignment",5,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_compatibility_rules",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_part_compatibility_rules_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_compatibility_rules",2,"part_id","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_compatibility_rules",3,"bike_type","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_compatibility_rules",4,"feature_label","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_compatibility_rules",5,"option_value","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_compatibility_rules",6,"option_label","text","text",,,,,"YES",,"OPTIONAL",
"public","qpart_part_compatibility_rules",7,"source","text","text",,,,,"NO","'derived'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_compatibility_rules",8,"is_active","boolean","bool",,,,,"NO","true","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_compatibility_rules",9,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_compatibility_rules",10,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_images",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_part_images_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_images",2,"part_id","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_images",3,"part_number","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_images",4,"blob_url","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_images",5,"blob_path","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_images",6,"mime_type","text","text",,,,,"NO","'image/jpeg'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_images",7,"file_size_bytes","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_images",8,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_images",9,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_images",10,"image_index","integer","int4",,32,0,,"NO","0","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_images",11,"is_primary","boolean","bool",,,,,"NO","false","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_metadata_values",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_part_metadata_values_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_metadata_values",2,"part_id","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_metadata_values",3,"metadata_definition_id","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_metadata_values",4,"locale","text","text",,,,,"NO","'en-GB'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_metadata_values",5,"value_text","text","text",,,,,"YES",,"OPTIONAL",
"public","qpart_part_metadata_values",6,"value_number","numeric","numeric",,,,,"YES",,"OPTIONAL",
"public","qpart_part_metadata_values",7,"value_boolean","boolean","bool",,,,,"YES",,"OPTIONAL",
